ZIP CODE,BOROUGH,SALE PRICE,log_saleprice,pop_est,number_of_schools,hate_count,borough_name
10458,2,300000,12.611537753638338,83960.0,9.0,151,BRONX
10458,2,400000,12.89921982609012,83960.0,9.0,151,BRONX
10458,2,510000,13.142166004700508,83960.0,9.0,151,BRONX
10457,2,430000,12.971540487669746,74554.0,12.0,151,BRONX
10457,2,10000,9.210340371976184,74554.0,12.0,151,BRONX
10457,2,389000,12.871334622600584,74554.0,12.0,151,BRONX
10457,2,505000,13.132313708257497,74554.0,12.0,151,BRONX
10457,2,250000,12.429216196844383,74554.0,12.0,151,BRONX
10457,2,490000,13.102160670086809,74554.0,12.0,151,BRONX
10457,2,1000,6.907755278982137,74554.0,12.0,151,BRONX
10457,2,1000,6.907755278982137,74554.0,12.0,151,BRONX
10457,2,100000,11.512925464970229,74554.0,12.0,151,BRONX
10457,2,228000,12.337100907936577,74554.0,12.0,151,BRONX
10457,2,128778,11.76584527060972,74554.0,12.0,151,BRONX
10457,2,420000,12.948009990259552,74554.0,12.0,151,BRONX
10458,2,500,6.214608098422191,83960.0,9.0,151,BRONX
10457,2,10,2.302585092994046,74554.0,12.0,151,BRONX
10458,2,449000,13.01477816672439,83960.0,9.0,151,BRONX
10457,2,261000,12.47227568630483,74554.0,12.0,151,BRONX
10458,2,393600,12.883090444160235,83960.0,9.0,151,BRONX
10458,2,232215,12.355418945642676,83960.0,9.0,151,BRONX
10457,2,100,4.605170185988092,74554.0,12.0,151,BRONX
10458,2,435919,12.98521172525545,83960.0,9.0,151,BRONX
10458,2,400000,12.89921982609012,83960.0,9.0,151,BRONX
10457,2,452000,13.021437458814368,74554.0,12.0,151,BRONX
10457,2,692258,13.447713997485032,74554.0,12.0,151,BRONX
10457,2,581540,13.273435036193325,74554.0,12.0,151,BRONX
10457,2,658620,13.397902015909418,74554.0,12.0,151,BRONX
10458,2,455000,13.028052697933088,83960.0,9.0,151,BRONX
10458,2,457314,13.033125523653807,83960.0,9.0,151,BRONX
10457,2,75000,11.225243392518447,74554.0,12.0,151,BRONX
10458,2,1150000,13.955272500339433,83960.0,9.0,151,BRONX
10458,2,1150000,13.955272500339433,83960.0,9.0,151,BRONX
10458,2,2800000,14.845129975145433,83960.0,9.0,151,BRONX
10457,2,3100000,14.946912669455374,74554.0,12.0,151,BRONX
10457,2,4250000,15.2624295409006,74554.0,12.0,151,BRONX
10457,2,1355000,14.119312012295937,74554.0,12.0,151,BRONX
10458,2,2768644,14.833868227618336,83960.0,9.0,151,BRONX
10457,2,30000,10.308952660644293,74554.0,12.0,151,BRONX
10457,2,35000,10.46310334047155,74554.0,12.0,151,BRONX
10457,2,1125000,13.933293593620657,74554.0,12.0,151,BRONX
10457,2,2650000,14.790070197962406,74554.0,12.0,151,BRONX
10457,2,2100000,14.557447902693651,74554.0,12.0,151,BRONX
10457,2,2800000,14.845129975145433,74554.0,12.0,151,BRONX
10457,2,1600000,14.28551418721001,74554.0,12.0,151,BRONX
10458,2,1350000,14.115615150414612,83960.0,9.0,151,BRONX
10458,2,4000000,15.201804919084164,83960.0,9.0,151,BRONX
10457,2,2450000,14.71159858252091,74554.0,12.0,151,BRONX
10457,2,1400000,14.151982794585487,74554.0,12.0,151,BRONX
